generationNumber,averageFitnessOfGeneration,fitnessOfBestCandidateOfGeneration,fitnessOfBestCandidateUntilNow,hydrophobContactsOfBestCandidateUntilNow,OverlappingsOfBestCandidateUntilNow
1,0.3096100000000001,2.0,2.0,6,2
2,3.0729699999999998,10.0,10.0,30,2
3,12.67231,32.0,32.0,96,2
4,57.185199999999995,78.0,78.0,234,2
5,136.43400000000003,141.0,141.0,423,2
6,201.88133000000002,210.0,210.0,630,2
7,266.26067,282.0,282.0,846,2
8,338.36,356.0,356.0,1068,2
9,407.2,436.0,436.0,1308,2
10,478.11,522.0,522.0,1566,2
11,550.4,612.0,612.0,1836,2
12,615.96,696.0,696.0,2088,2
13,697.36,792.0,792.0,2376,2
14,778.85,894.0,894.0,2682,2
15,912.78,1026.0,1026.0,3078,2
16,1033.1,1166.0,1166.0,3498,2
17,1223.98,1330.0,1330.0,3990,2
18,1424.84,1508.0,1508.0,4524,2
19,1650.95,1698.0,1698.0,5094,2
20,1884.62,1896.0,1896.0,5688,2
21,2096.0,2096.0,2096.0,6288,2
22,2296.0,2296.0,2296.0,6888,2
23,2496.0,2496.0,2496.0,7488,2
24,2696.0,2696.0,2696.0,8088,2
25,2896.0,2896.0,2896.0,8688,2
26,3096.0,3096.0,3096.0,9288,2
27,3296.0,3296.0,3296.0,9888,2
28,3496.0,3496.0,3496.0,10488,2
